Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
11/08/2012,05:30:00,6.764308671,1.879410741,1.658380404,0.135773456,0.889681969,0.719442563,0.140768096,0.045139981,0.122962856,0.497203819,0.470227623
11/08/2012,06:00:00,6.790192505,2.491311913,1.704446527,0.312278948,0.856951194,2.969128036,0.180281948,0.062755584,0.487611324,0.616723967,0.656697198
11/08/2012,06:30:00,6.203492263,2.447604686,1.689091152,0.261848807,2.12154931,1.861414884,0.176577524,0.031928279,0.324367533,0.439834147,0.705341435
11/08/2012,07:00:00,1.199284318,2.27277578,1.719801901,0.298701603,0.74090572,1.450304849,0.737180293,0.088078012,0.159003693,0.616723967,0.648589825
11/08/2012,07:30:00,3.942970743,1.791996288,1.627669656,0.162928147,1.273524691,2.078389625,0.695196826,0.049543882,0.084801969,0.573696714,0.445905505
11/08/2012,08:00:00,3.442549949,1.748289062,1.612314282,0.19396208,0.726028095,2.420981322,0.418599865,0.012110727,0.159003693,0.745805728,1.167461685
11/08/2012,08:30:00,3.804923627,2.185361327,1.627669656,0.211418667,1.211038666,1.792896545,0.575420464,0.047341931,0.260766056,1.434241785,0.454012877
11/08/2012,09:00:00,0.267466287,2.972091405,1.64302503,0.26766767,0.678419695,0.913577857,1.320009604,0.022019503,0.16536384,0.702778475,0.762093044
11/08/2012,09:30:00,1.035353368,3.015798631,4.468413867,0.327795914,0.934314843,1.336107616,0.818677612,0.012110727,0.16536384,0.836641041,0.672911943
11/08/2012,10:00:00,0.63846791,5.769353903,3.316760808,0.428656196,0.69329732,1.119132875,0.627282394,0.053947782,0.074201723,0.750586534,1.548508207
11/08/2012,10:30:00,0.457281071,2.928384178,2.871454959,0.760331352,0.886706444,1.119132875,0.65815259,0.015413652,0.142043299,0.937037966,1.045851093
11/08/2012,11:00:00,1.216540207,4.54555156,2.610413599,0.496542924,0.577251846,0.890738411,0.282771,0.012110727,0.084801969,4.670847413,0.672911943
11/08/2012,11:30:00,0.371001624,2.753555272,2.641124347,0.224996012,0.815293844,1.541662634,0.145707328,0.058351683,0.122962856,2.371279751,1.013421602
11/08/2012,12:00:00,0.992213644,2.709848045,2.810033463,0.983387743,0.71710152,1.404625956,0.17904714,0.012110727,0.097522265,3.604727686,0.46212025
11/08/2012,12:30:00,0.811026805,4.54555156,2.932876456,1.309244037,1.550248514,1.084873706,0.175342716,0.013211702,0.106002462,4.50830001,0.77830779
11/08/2012,13:00:00,0.284722176,9.178517573,2.794678089,0.969810398,1.321133091,1.016355366,0.371677166,0.058351683,0.11236261,5.08677753,0.348617031
11/08/2012,13:30:00,1.233796097,7.299106832,2.840744211,0.727357798,1.092017667,0.548146714,0.463052948,0.012110727,0.379488813,5.11068156,0.908025755
11/08/2012,14:00:00,0.431397237,4.807794919,2.625768973,0.387924159,1.047384793,1.301848447,0.424773904,0.030827304,0.233205416,1.926664798,0.364831777
11/08/2012,14:30:00,0.690235579,5.550817771,2.533636729,0.382105297,0.922412743,3.357398626,0.338337354,0.041837056,0.097522265,4.670847413,0.786415163
11/08/2012,15:00:00,3.684132401,3.452870897,3.669934413,0.354950606,0.779587544,2.341043259,0.329693699,0.012110727,0.163243791,7.596700654,0.502657114
11/08/2012,15:30:00,1.302819655,3.059505858,5.051918083,0.257969566,0.964070093,2.238265751,0.384025245,0.049543882,0.207764825,2.557731183,1.507971343
11/08/2012,16:00:00,1.855008118,3.321749217,4.867653594,0.444173162,1.630587688,1.975612117,0.450704869,0.023120478,0.161123742,1.400776143,1.183676431
11/08/2012,16:30:00,3.071548325,3.452870897,4.66803373,0.399561884,4.150857345,3.288880286,0.655682975,0.023120478,0.186564333,0.922695548,0.526979233
11/08/2012,17:00:00,1.544402107,3.40916367,4.867653594,0.325856294,2.555975957,1.941352947,1.215050936,0.170651148,0.313767287,0.965722802,0.713448807
11/08/2012,17:30:00,0.336489845,3.40916367,4.683389105,0.384044918,3.032059953,2.283944643,1.165658621,0.212488204,0.216245022,4.489176787,0.794522536
11/08/2012,18:00:00,1.138888705,3.146920311,5.328314817,0.492663682,2.445881532,9.387012484,1.155780158,0.170651148,0.502451669,1.845391096,0.964777365
11/08/2012,18:30:00,1.518518273,2.972091405,5.236182573,0.527576856,3.567654449,4.841962644,1.820106788,0.766278704,0.265006155,3.236605628,0.997206856
11/08/2012,19:00:00,2.407196581,2.928384178,5.174761076,0.494603303,1.856727587,2.478079938,1.200233241,0.150833595,0.345568025,4.493957592,0.656697198
11/08/2012,19:30:00,3.011152712,4.982623826,4.176661759,0.638135242,2.014430411,4.054001742,1.037238604,0.199276502,0.328607632,6.721813165,0.932347873
11/08/2012,20:00:00,1.984427289,4.67667324,3.132496319,0.616799413,2.201888484,2.478079938,0.873009158,0.201478452,0.366768518,6.167239675,1.078280584
11/08/2012,20:30:00,1.863636062,8.479201949,2.211173872,0.552791927,1.975748586,2.386722152,0.811268765,0.170651148,0.279846499,5.64135102,1.248535413
11/08/2012,21:00:00,1.682449223,15.73460155,2.180463124,0.531456098,1.874580737,4.168198974,0.763111258,0.122208242,0.271366302,5.760871169,1.053958466
11/08/2012,21:30:00,2.407196581,7.430228512,2.149752376,0.353010985,1.505615639,6.623439466,0.848313001,0.158540422,0.108122511,2.0892122,0.908025755
11/08/2012,22:00:00,1.691077168,5.332281638,2.16510775,0.283184636,1.315182041,6.166650537,0.471696603,0.11340044,0.178084136,2.270882826,0.989099483
11/08/2012,22:30:00,1.14751665,4.283308201,2.119041628,0.285124257,1.222940766,2.535178554,0.218560992,0.094683863,0.089042068,2.376060557,0.551301351
